净值日期,每万份收益,7日年化收益率（%）,申购状态,赎回状态,分红送配
2019-06-26,0.7266,3.8610%,开放申购,开放赎回,
2019-06-25,0.7459,3.8650%,开放申购,开放赎回,
2019-06-24,2.9524,3.9180%,开放申购,开放赎回,
2019-06-23,0.7012,3.6690%,开放申购,开放赎回,
2019-06-22,0.7013,3.6270%,开放申购,开放赎回,
2019-06-21,0.7356,3.5850%,开放申购,开放赎回,
2019-06-20,0.7027,3.4610%,开放申购,开放赎回,
2019-06-19,0.7338,3.5160%,开放申购,开放赎回,
2019-06-18,0.8433,3.5020%,开放申购,开放赎回,
2019-06-17,2.4936,3.4180%,开放申购,开放赎回,
2019-06-16,0.6235,2.8010%,开放申购,开放赎回,
2019-06-15,0.6235,2.7520%,开放申购,开放赎回,
2019-06-14,0.5052,2.7030%,开放申购,开放赎回,
2019-06-13,0.8052,2.7150%,开放申购,开放赎回,
2019-06-12,0.7068,2.7660%,开放申购,开放赎回,
2019-06-11,0.6874,2.6810%,开放申购,开放赎回,
2019-06-10,1.3459,2.6620%,开放申购,开放赎回,
2019-06-09,0.5328,2.7390%,开放申购,开放赎回,
2019-06-08,0.5328,2.7760%,开放申购,开放赎回,
2019-06-07,0.5272,2.8130%,开放申购,开放赎回,
